Es la secretaria del colegio nuyrcionistas de chiclayo trabaja en un centro dalud minsa de periferie;PERU
Juan Carlos Realiza pedido de 1d 1023 Anteriormente lo trabajaba hace mucho Trabaja linea Geltek en insecticidas;ARGENTINA
Pide 3u 1075  1d 1023  12 u 1051 6u 1059  3u 1065  3u 1064;ARGENTINA
Realiza pedido de 1 dispenser de 1023;ARGENTINA
REaliza pedido de 1d 1023;ARGENTINA
Realiza pedido de 1d 1023;ARGENTINA
Realiza pedido de 24u 1051;ARGENTINA
Realiza pedido de 3u 1300 1310 1320;ARGENTINA
REaliza pedido de aerosoles 3 de cada uno y 3u 1064 Trabajaba jeringas Ultra aun tiene;ARGENTINA
Realiza pedido de aerosoles 3u de 1300 1310 1320;ARGENTINA
Se le dejaron Agenda y Calendario no me pudo atender personalmente;COLOMBIA
Se revision de negocio de todos los productos de Vitalis con el fin de pasar nueva negociacion para el 2018 especialmente de los productos en sobre stock de Vitalis Tambien se hace revision de cartera en mora se debe llamar el lunes 26 con el fin ;COLOMBIA